study,t1,t2,e.events,e.total,c.events,c.total
Agarwal,convalescent plasma,placebo/standard care,20,235,18,229
AlQahtani,convalescent plasma,placebo/standard care,4,20,6,20
Avendano-Sola,convalescent plasma,placebo/standard care,0,38,3,43
Eom,CT-P59 monoclonal antibody,placebo/standard care,1,204,0,103
Gupta,sotrovimab,placebo/standard care,0,291,2,292
Horby_1,convalescent plasma,placebo/standard care,885,3564,876,3441
Horby_2,"casirivimab, imdevimab",placebo/standard care,751,3312,793,3325
Libster,convalescent plasma,placebo/standard care,2,80,4,80
Lopardo,puried equine anti-RBD F(ab´)2 fragments (INM005),placebo/standard care,11,118,17,123
Lundgren,bamlanivimab,placebo/standard care,33,163,27,151
Pouladzadeh,convalescent plasma,placebo/standard care,3,30,5,30
Raman,intravenous immunoglobulin,placebo/standard care,12,50,19,50
Sakoulas,intravenous immunoglobulin,placebo/standard care,2,16,7,17
Salman,convalescent plasma,placebo/standard care,0,15,0,15
Sekine,convalescent plasma,placebo/standard care,27,80,29,80
Simonovich,convalescent plasma,placebo/standard care,61,228,24,105
Tabarsi,intravenous immunoglobulin,placebo/standard care,21,52,10,32
Weinreich_2_1,"casirivimab, imdevimab",placebo/standard care,1,1355,6,1341
Weinreich_2_2,"casirivimab, imdevimab",placebo/standard care,1,736,2,748
