study,t1,t2,mean1,sd1,n1,mean2,sd2,n2
Avendano-Sola,convalescent plasma,placebo/standard care,6.5,7.86,38,6,5.02,43
Eom,CT-P59 monoclonal antibody,placebo/standard care,5.79,6.63,204,8.77,12.97,103
Gottlieb,"bamlanivimab, etesevimab",bamlanivimab,8,7.99,109,8.23,9.61,309
Gottlieb,"bamlanivimab, etesevimab",placebo/standard care,8,7.99,109,9,9.44,152
Gottlieb,bamlanivimab,placebo/standard care,8.23,9.61,309,9,9.44,152
Korper,convalescent plasma,placebo/standard care,26,7.4,53,66,9.2,52
Lopardo,puried equine anti-RBD F(ab´)2 fragments (INM005),placebo/standard care,14.2,7.6,118,16.3,7.76,123
Simonovich,convalescent plasma,placebo/standard care,15,7.4,228,15,9.2,105
Weinreich_2_1,"casirivimab, imdevimab",placebo/standard care,10,7.4,1214,14,17.65,1197
Weinreich_2_2,"casirivimab, imdevimab",placebo/standard care,10,19.85,673,14,19.96,680
Dougan,"bamlanivimab, etesevimab",placebo/standard care,8,5.73837851,506,9,11.39709587,499
