study,t1,t2,e.events,e.total,c.events,c.total
Agarwal,convalescent plasma,placebo/standard care,34,235,31,229
Avendano-Sola,convalescent plasma,placebo/standard care,0,38,4,43
Chen_1,bamlanivimab,placebo/standard care,0,309,0,143
Dougan,"bamlanivimab, etesevimab",placebo/standard care,0,518,10,517
Eom,CT-P59 monoclonal antibody,placebo/standard care,0,204,0,103
Gupta,sotrovimab,placebo/standard care,0,291,1,292
Horby_1,convalescent plasma,placebo/standard care,56,442,69,455
Horby_2,"casirivimab, imdevimab",placebo/standard care,31,332,44,309
Libster,convalescent plasma,placebo/standard care,2,80,4,80
Weinreich_2_1,"casirivimab, imdevimab",placebo/standard care,1,1355,3,1341
Weinreich_2_2,"casirivimab, imdevimab",placebo/standard care,1,736,1,748
Weinreich_2_3,"casirivimab, imdevimab",placebo/standard care,0,625,2,593
Weinreich_3,"casirivimab, imdevimab",placebo/standard care,0,434,0,231
O'Brien_1,"casirivimab, imdevimab",placebo/standard care,0,155,0,156
