study,t1,t2,mean1,sd1,n1,mean2,sd2,n2
AlQahtani,convalescent plasma,placebo/standard care,14.1,1.25,19,18.05,2.22,18
Bégin,convalescent plasma,placebo/standard care,11.33,8.92,614,11.67,9.68,307
Gharbharan,convalescent plasma,placebo/standard care,10.67,13.84,40,10.33,11.53,40
Gharebaghi,intravenous immunoglobulin,placebo/standard care,9.67,4.67,30,7.33,2.34,29
Pouladzadeh,convalescent plasma,placebo/standard care,8.66,3.94,30,6.66,4.3,30
Raman,intravenous immunoglobulin,placebo/standard care,7.72,2.69,47,17.5,5.01,46
Ray,convalescent plasma,placebo/standard care,16,11.53,40,17,5.05,40
Sakoulas,intravenous immunoglobulin,placebo/standard care,12.75,4.81,16,17,7.24,17
Sekine,convalescent plasma,placebo/standard care,10.33,6.9,44,10.27,9.8,46
Simonovich,convalescent plasma,placebo/standard care,17,16.41,228,16.33,17.29,105
Tabarsi,intravenous immunoglobulin,placebo/standard care,8.83,4.57,52,5.83,3.1,32
