study,t1,t2,e.events,e.total,c.events,c.total
ARCHITECTS_NCT04412772_s,"tocilizumab, steroids",steroids,0,9,2,11
Angus,steroids,standard care/placebo,78,278,33,101
BACC Bay_NCT04356937_n,tocilizumab,standard care/placebo,9,158,4,81
CORIMUNO-SARI-1_NCT04324073_n,sarilumab,standard care/placebo,14,72,10,65
CORIMUNO-SARI-1_NCT04324073_s,"sarilumab, steroids",steroids,2,4,0,3
CORIMUNO-SARI-ICU_NCT04324073_n,sarilumab,standard care/placebo,14,48,13,31
CORIMUNO-TOCI-1_NCT04331808_n,tocilizumab,standard care/placebo,6,53,7,55
CORIMUNO-TOCI-1_NCT04331808_s,"tocilizumab, steroids",steroids,1,10,4,12
CORIMUNO-TOCI-ICU_NCT04331808_n,tocilizumab,standard care/placebo,8,41,11,39
CORIMUNO-TOCI-ICU_NCT04331808_s,"tocilizumab, steroids",steroids,4,8,2,4
COV-AID_NCT04330638_n,tocilizumab,standard care/placebo,3,33,6,30
COV-AID_NCT04330638_s,"tocilizumab, steroids",steroids,7,48,3,42
COVACTA_NCT04320615_n,tocilizumab,standard care/placebo,56,238,22,103
COVACTA_NCT04320615_s,"tocilizumab, steroids",steroids,16,56,14,41
COVIDOSE2-SSA_NCT04479358_n,tocilizumab,standard care/placebo,0,13,1,6
COVIDOSE2-SSA_NCT04479358_s,"tocilizumab, steroids",steroids,0,6,1,2
COVIDSTORM_s,"tocilizumab, steroids",steroids,1,13,1,17
COVITOZ_n,tocilizumab,standard care/placebo,0,4,0,3
COVITOZ_s,"tocilizumab, steroids",steroids,0,6,0,6
Corral-Gudino,steroids,standard care/placebo,7,35,5,29
Dequin,steroids,standard care/placebo,11,75,20,73
EMPACTA_NCT04372186_n,tocilizumab,standard care/placebo,2,49,0,16
EMPACTA_NCT04372186_s,"tocilizumab, steroids",steroids,27,200,15,112
Edalatifard,steroids,standard care/placebo,2,34,12,28
HMO-020-0224_NCT04377750_n,tocilizumab,standard care/placebo,2,6,1,2
HMO-020-0224_NCT04377750_s,"tocilizumab, steroids",steroids,16,31,9,15
Horby_1,steroids,standard care/placebo,482,2104,1110,4321
ImmCoVA_s,"tocilizumab, steroids",steroids,2,21,2,26
Jamaati,steroids,standard care/placebo,16,25,15,25
Jeronimo,steroids,standard care/placebo,79,209,80,207
PreToVid_Trial NL8504_n,tocilizumab,standard care/placebo,1,11,2,11
PreToVid_Trial NL8504_s,"tocilizumab, steroids",steroids,20,159,32,167
RECOVERY_NCT04381936_n,tocilizumab,standard care/placebo,139,357,127,367
RECOVERY_NCT04381936_s,"tocilizumab, steroids",steroids,482,1664,600,1721
REGENERON-P2_NCT04315298_n,sarilumab,standard care/placebo,81,305,18,76
REGENERON-P2_NCT04315298_s,"sarilumab, steroids",steroids,28,62,6,14
REGENERON-P3_NCT04315298_n,sarilumab,standard care/placebo,198,699,50,187
REGENERON-P3_NCT04315298_s,"sarilumab, steroids",steroids,99,345,34,99
REMAP-CAP_1_NCT02735707_sarilumab_n,sarilumab,standard care/placebo,2,4,5,11
REMAP-CAP_1_NCT02735707_sarilumab_s,"sarilumab, steroids",steroids,8,44,13,52
REMAP-CAP_1_NCT02735707_tocilizumab_n,tocilizumab,standard care/placebo,33,127,44,129
REMAP-CAP_1_NCT02735707_tocilizumab_s,"tocilizumab, steroids",steroids,63,214,80,217
REMAP-CAP_2_NCT02735707_s,"tocilizumab, steroids","sarilumab, steroids",215,589,146,431
REMDACTA_NCT04409262_n,tocilizumab,standard care/placebo,9,72,2,29
REMDACTA_NCT04409262_s,"tocilizumab, steroids",steroids,69,358,39,181
Rashad,tocilizumab,steroids,60,74,45,75
SARCOVID_NCT04357808_n,sarilumab,standard care/placebo,1,3,0,2
SARCOVID_NCT04357808_s,"sarilumab, steroids",steroids,1,17,0,8
SARICOR_EudraCT2020-001531-27_n,sarilumab,standard care/placebo,1,10,1,5
SARICOR_EudraCT2020-001531-27_s,"sarilumab, steroids",steroids,2,66,3,34
SARTRE_EudraCT2020-002037-15_s,"sarilumab, steroids",steroids,2,70,1,70
Sterne_1,steroids,standard care/placebo,2,7,2,12
Sterne_2,steroids,standard care/placebo,6,15,2,14
Sterne_3,steroids,standard care/placebo,13,24,13,23
TOCIBRAS_NCT04403685_n,tocilizumab,standard care/placebo,8,34,2,30
TOCIBRAS_NCT04403685_s,"tocilizumab, steroids",steroids,9,31,5,34
Tang_2,steroids,standard care/placebo,0,43,1,43
Tomazini,steroids,standard care/placebo,85,151,91,148
