study,t1,t2,e.events,e.total,c.events,c.total
ARCHITECTS_NCT04412772,"tocilizumab, steroids",tocilizumab,0,9,0,1
ARCHITECTS_NCT04412772,"tocilizumab, steroids",steroids,0,9,2,11
ARCHITECTS_NCT04412772,"tocilizumab, steroids",1_standard care/placebo,0,9,0,0
ARCHITECTS_NCT04412772,tocilizumab,steroids,0,1,2,11
ARCHITECTS_NCT04412772,tocilizumab,1_standard care/placebo,0,1,0,0
ARCHITECTS_NCT04412772,steroids,1_standard care/placebo,2,11,0,0
Angus,steroids,1_standard care/placebo,78,278,33,101
BACC Bay_NCT04356937,"tocilizumab, steroids",tocilizumab,0,3,9,158
BACC Bay_NCT04356937,"tocilizumab, steroids",steroids,0,3,0,1
BACC Bay_NCT04356937,"tocilizumab, steroids",1_standard care/placebo,0,3,4,81
BACC Bay_NCT04356937,tocilizumab,steroids,9,158,0,1
BACC Bay_NCT04356937,tocilizumab,1_standard care/placebo,9,158,4,81
BACC Bay_NCT04356937,steroids,1_standard care/placebo,0,1,4,81
CORIMUNO-SARI-1_NCT04324073,"sarilumab, steroids",sarilumab,8,65,2,4
CORIMUNO-SARI-1_NCT04324073,"sarilumab, steroids",steroids,8,65,0,3
CORIMUNO-SARI-1_NCT04324073,"sarilumab, steroids",1_standard care/placebo,8,65,12,72
CORIMUNO-SARI-1_NCT04324073,sarilumab,steroids,2,4,0,3
CORIMUNO-SARI-1_NCT04324073,sarilumab,1_standard care/placebo,2,4,12,72
CORIMUNO-SARI-1_NCT04324073,steroids,1_standard care/placebo,0,3,12,72
CORIMUNO-SARI-ICU_NCT04324073,"sarilumab, steroids",sarilumab,0,0,14,48
CORIMUNO-SARI-ICU_NCT04324073,"sarilumab, steroids",steroids,0,0,0,2
CORIMUNO-SARI-ICU_NCT04324073,"sarilumab, steroids",1_standard care/placebo,0,0,11,31
CORIMUNO-SARI-ICU_NCT04324073,sarilumab,steroids,14,48,0,2
CORIMUNO-SARI-ICU_NCT04324073,sarilumab,1_standard care/placebo,14,48,11,31
CORIMUNO-SARI-ICU_NCT04324073,steroids,1_standard care/placebo,0,2,11,31
CORIMUNO-TOCI-1_NCT04331808,"tocilizumab, steroids",tocilizumab,1,10,6,53
CORIMUNO-TOCI-1_NCT04331808,"tocilizumab, steroids",steroids,1,10,3,12
CORIMUNO-TOCI-1_NCT04331808,"tocilizumab, steroids",1_standard care/placebo,1,10,5,55
CORIMUNO-TOCI-1_NCT04331808,tocilizumab,steroids,6,53,3,12
CORIMUNO-TOCI-1_NCT04331808,tocilizumab,1_standard care/placebo,6,53,5,55
CORIMUNO-TOCI-1_NCT04331808,steroids,1_standard care/placebo,3,12,5,55
CORIMUNO-TOCI-ICU_NCT04331808,"tocilizumab, steroids",tocilizumab,4,8,4,41
CORIMUNO-TOCI-ICU_NCT04331808,"tocilizumab, steroids",steroids,4,8,2,4
CORIMUNO-TOCI-ICU_NCT04331808,"tocilizumab, steroids",1_standard care/placebo,4,8,8,39
CORIMUNO-TOCI-ICU_NCT04331808,tocilizumab,steroids,4,41,2,4
CORIMUNO-TOCI-ICU_NCT04331808,tocilizumab,1_standard care/placebo,4,41,8,39
CORIMUNO-TOCI-ICU_NCT04331808,steroids,1_standard care/placebo,2,4,8,39
COV-AID_NCT04330638,"tocilizumab, steroids",tocilizumab,6,48,3,33
COV-AID_NCT04330638,"tocilizumab, steroids",steroids,6,48,3,42
COV-AID_NCT04330638,"tocilizumab, steroids",1_standard care/placebo,6,48,4,30
COV-AID_NCT04330638,tocilizumab,steroids,3,33,3,42
COV-AID_NCT04330638,tocilizumab,1_standard care/placebo,3,33,4,30
COV-AID_NCT04330638,steroids,1_standard care/placebo,3,42,4,30
COVACTA_NCT04320615,"tocilizumab, steroids",tocilizumab,29,106,29,188
COVACTA_NCT04320615,"tocilizumab, steroids",steroids,29,106,18,79
COVACTA_NCT04320615,"tocilizumab, steroids",1_standard care/placebo,29,106,10,65
COVACTA_NCT04320615,tocilizumab,steroids,29,188,18,79
COVACTA_NCT04320615,tocilizumab,1_standard care/placebo,29,188,10,65
COVACTA_NCT04320615,steroids,1_standard care/placebo,18,79,10,65
COVIDOSE2-SSA_NCT04479358,"tocilizumab, steroids",tocilizumab,0,6,0,13
COVIDOSE2-SSA_NCT04479358,"tocilizumab, steroids",steroids,0,6,1,2
COVIDOSE2-SSA_NCT04479358,"tocilizumab, steroids",1_standard care/placebo,0,6,1,6
COVIDOSE2-SSA_NCT04479358,tocilizumab,steroids,0,13,1,2
COVIDOSE2-SSA_NCT04479358,tocilizumab,1_standard care/placebo,0,13,1,6
COVIDOSE2-SSA_NCT04479358,steroids,1_standard care/placebo,1,2,1,6
Corral-Gudino,steroids,1_standard care/placebo,7,35,5,29
Dequin,steroids,1_standard care/placebo,11,75,20,73
EMPACTA_NCT04372186,"tocilizumab, steroids",tocilizumab,24,200,2,49
EMPACTA_NCT04372186,"tocilizumab, steroids",steroids,24,200,11,112
EMPACTA_NCT04372186,"tocilizumab, steroids",1_standard care/placebo,24,200,0,16
EMPACTA_NCT04372186,tocilizumab,steroids,2,49,11,112
EMPACTA_NCT04372186,tocilizumab,1_standard care/placebo,2,49,0,16
EMPACTA_NCT04372186,steroids,1_standard care/placebo,11,112,0,16
Edalatifard,steroids,1_standard care/placebo,2,34,12,28
HMO-020-0224_NCT04377750,"tocilizumab, steroids",tocilizumab,10,31,1,6
HMO-020-0224_NCT04377750,"tocilizumab, steroids",steroids,10,31,8,15
HMO-020-0224_NCT04377750,"tocilizumab, steroids",1_standard care/placebo,10,31,0,2
HMO-020-0224_NCT04377750,tocilizumab,steroids,1,6,8,15
HMO-020-0224_NCT04377750,tocilizumab,1_standard care/placebo,1,6,0,2
HMO-020-0224_NCT04377750,steroids,1_standard care/placebo,8,15,0,2
Horby_1,steroids,1_standard care/placebo,482,2104,1110,4321
Jamaati,steroids,1_standard care/placebo,16,25,15,25
Jeronimo,steroids,1_standard care/placebo,79,209,80,207
RECOVERY_NCT04381936,"tocilizumab, steroids",tocilizumab,482,1664,139,357
RECOVERY_NCT04381936,"tocilizumab, steroids",steroids,482,1664,601,1721
RECOVERY_NCT04381936,"tocilizumab, steroids",1_standard care/placebo,482,1664,127,367
RECOVERY_NCT04381936,tocilizumab,steroids,139,357,601,1721
RECOVERY_NCT04381936,tocilizumab,1_standard care/placebo,139,357,127,367
RECOVERY_NCT04381936,steroids,1_standard care/placebo,601,1721,127,367
REGENERON-P3_NCT04315298,"sarilumab, steroids",sarilumab,84,345,179,697
REGENERON-P3_NCT04315298,"sarilumab, steroids",steroids,84,345,24,99
REGENERON-P3_NCT04315298,"sarilumab, steroids",1_standard care/placebo,84,345,40,187
REGENERON-P3_NCT04315298,sarilumab,steroids,179,697,24,99
REGENERON-P3_NCT04315298,sarilumab,1_standard care/placebo,179,697,40,187
REGENERON-P3_NCT04315298,steroids,1_standard care/placebo,24,99,40,187
REMAP-CAP_1_NCT02735707,"tocilizumab, steroids","sarilumab, steroids",62,214,8,41
REMAP-CAP_1_NCT02735707,"tocilizumab, steroids",tocilizumab,62,214,33,127
REMAP-CAP_1_NCT02735707,"tocilizumab, steroids",sarilumab,62,214,2,4
REMAP-CAP_1_NCT02735707,"tocilizumab, steroids",steroids,62,214,90,248
