study,t1,t2,mean1,sd1,n1,mean2,sd2,n2
BACC Bay_NCT04356937,IL6 receptor antagonists,1_standard care/placebo,15,9.47,11,27.9,8.88,8
CORIMUNO-SARI-ICU_NCT04324073,IL6 receptor antagonists,1_standard care/placebo,20.5,9.49,32,23.38,7.6,24
CORIMUNO-TOCI-ICU_NCT04331808,IL6 receptor antagonists,1_standard care/placebo,18.25,9.47,36,20.77,9.39,31
COV-AID_NCT04330638,IL6 receptor antagonists,1_standard care/placebo,20.7,10.24,13,21.33,9.18,9
COVACTA_NCT04320615,IL6 receptor antagonists,1_standard care/placebo,20.73,9.09,113,21.11,8.88,55
COVINTOC_CTRI/2020/05/025369,IL6 receptor antagonists,1_standard care/placebo,5.4,3.29,5,13.75,7.85,4
HMO-020-0224_NCT04377750,IL6 receptor antagonists,1_standard care/placebo,24.15,7.23,20,23.42,8.32,12
RECOVERY_NCT04381936,IL6 receptor antagonists,1_standard care/placebo,22.88,8.04,268,23.56,7.44,294
REMAP-CAP_NCT02735707,IL6 receptor antagonists,1_standard care/placebo,19.54,10.2,112,20.57,9.86,121
TOCIBRAS_NCT04403685,IL6 receptor antagonists,1_standard care/placebo,20.13,10.28,11,19.47,9.5,10
ARCHITECTS_NCT04412772,IL6 receptor antagonists,1_standard care/placebo,7.64,2.76,9,9.11,6.2,10
