study,t1,t2,e.events,e.total,c.events,c.total
ARCHITECTS_NCT04412772,IL6 receptor antagonists,1_standard care/placebo,0,10,2,11
BACC Bay_NCT04356937,IL6 receptor antagonists,1_standard care/placebo,9,161,4,82
CORIMUNO-SARI-1_NCT04324073,IL6 receptor antagonists,1_standard care/placebo,8,68,14,76
CORIMUNO-SARI-ICU_NCT04324073,IL6 receptor antagonists,1_standard care/placebo,14,48,11,33
CORIMUNO-TOCI-1_NCT04331808,IL6 receptor antagonists,1_standard care/placebo,7,63,8,67
CORIMUNO-TOCI-ICU_NCT04331808,IL6 receptor antagonists,1_standard care/placebo,8,49,10,43
COV-AID_NCT04330638,IL6 receptor antagonists,1_standard care/placebo,19,158,7,72
COVACTA_NCT04320615,IL6 receptor antagonists,1_standard care/placebo,70,295,33,143
COVIDOSE2-SSA_NCT04479358,IL6 receptor antagonists,1_standard care/placebo,0,19,2,8
COVIDSTORM_NCT04577534,IL6 receptor antagonists,1_standard care/placebo,0,26,0,13
COVINTOC_CTRI/2020/05/025369,IL6 receptor antagonists,1_standard care/placebo,13,91,15,89
COVITOZ_NCT04435717,IL6 receptor antagonists,1_standard care/placebo,0,17,0,9
EMPACTA_NCT04372186,IL6 receptor antagonists,1_standard care/placebo,29,250,15,127
HMO-020-0224_NCT04377750,IL6 receptor antagonists,1_standard care/placebo,11,37,8,17
RCT-TCZ-COVID-19_NCT04346355,IL6 receptor antagonists,1_standard care/placebo,2,60,1,63
RECOVERY_NCT04381936,IL6 receptor antagonists,1_standard care/placebo,621,2022,730,2094
REGENERON-P2_NCT04315298,IL6 receptor antagonists,1_standard care/placebo,102,367,19,90
REGENERON-P3_NCT04315298,IL6 receptor antagonists,1_standard care/placebo,264,1044,64,286
REMAP-CAP_NCT02735707,IL6 receptor antagonists,1_standard care/placebo,108,395,142,397
REMDACTA_NCT04409262,IL6 receptor antagonists,1_standard care/placebo,78,430,41,210
SANOFI_NCT04327388,IL6 receptor antagonists,1_standard care/placebo,35,332,9,84
SARCOVID_NCT04357808,IL6 receptor antagonists,1_standard care/placebo,2,20,0,10
SARICOR_EudraCT2020-001531-27,IL6 receptor antagonists,1_standard care/placebo,2,53,3,26
SARTRE_EudraCT2020-002037-15,IL6 receptor antagonists,1_standard care/placebo,2,70,1,70
TOCIBRAS_NCT04403685,IL6 receptor antagonists,1_standard care/placebo,14,65,6,64
TOCOVID_EudraCT2020-001442-19,IL6 receptor antagonists,1_standard care/placebo,0,136,0,134
