"","t1","t2","pe.ind","ci.l.ind","ci.u.ind","pe.net","ci.l.net","ci.u.net"
"1","tocilizumab","sarilumab",1.06,0.7,1.59,0.93,0.63,1.38
"2","steroids","sarilumabsteroids",1.44,1.07,1.94,1.4,1.1,1.78
"3","tocilizumabsteroids","sarilumabsteroids",0.84,0.5,1.4,1.12,0.89,1.4
"4","tocilizumabsteroids","steroids",1.09,0.63,1.94,0.8,0.71,0.9
"5","sarilumabsteroids","sarilumab",NA,NA,NA,0.54,0.35,0.82
"6","standardcareplacebo","sarilumab",NA,NA,NA,0.89,0.64,1.23
"7","steroids","sarilumab",NA,NA,NA,0.76,0.53,1.06
"8","tocilizumabsteroids","sarilumab",NA,NA,NA,0.6,0.42,0.87
"9","standardcareplacebo","sarilumabsteroids",NA,NA,NA,1.65,1.27,2.14
"10","tocilizumab","sarilumabsteroids",NA,NA,NA,1.73,1.22,2.44
"11","steroids","standardcareplacebo",NA,NA,NA,0.85,0.76,0.94
"12","tocilizumab","standardcareplacebo",NA,NA,NA,1.05,0.83,1.31
"13","tocilizumabsteroids","standardcareplacebo",NA,NA,NA,0.68,0.58,0.8
"14","tocilizumab","steroids",NA,NA,NA,1.23,0.96,1.58
"15","tocilizumabsteroids","tocilizumab",NA,NA,NA,0.65,0.49,0.86
