study,t1,t2,e.events,e.total,c.events,c.total
ARCHITECTS_NCT04412772,IL6 receptor antagonists,1_standard care/placebo,1,10,2,11
BACC Bay_NCT04356937,IL6 receptor antagonists,1_standard care/placebo,13,161,14,82
CORIMUNO-SARI-1_NCT04324073,IL6 receptor antagonists,1_standard care/placebo,5,68,4,76
CORIMUNO-SARI-ICU_NCT04324073,IL6 receptor antagonists,1_standard care/placebo,12,48,2,33
CORIMUNO-TOCI-1_NCT04331808,IL6 receptor antagonists,1_standard care/placebo,2,63,11,67
CORIMUNO-TOCI-ICU_NCT04331808,IL6 receptor antagonists,1_standard care/placebo,9,49,7,43
COV-AID_NCT04330638,IL6 receptor antagonists,1_standard care/placebo,15,158,4,72
COVACTA_NCT04320615,IL6 receptor antagonists,1_standard care/placebo,113,295,58,143
COVIDOSE2-SSA_NCT04479358,IL6 receptor antagonists,1_standard care/placebo,2,19,1,8
COVIDSTORM_NCT04577534,IL6 receptor antagonists,1_standard care/placebo,1,26,0,13
COVINTOC_CTRI/2020/05/025369,IL6 receptor antagonists,1_standard care/placebo,3,91,1,88
HMO-020-0224_NCT04377750,IL6 receptor antagonists,1_standard care/placebo,27,37,8,17
RCT-TCZ-COVID-19_NCT04346355,IL6 receptor antagonists,1_standard care/placebo,1,60,4,63
REGENERON-P2_NCT04315298,IL6 receptor antagonists,1_standard care/placebo,68,367,19,90
REMDACTA_NCT04409262,IL6 receptor antagonists,1_standard care/placebo,131,429,71,213
SARCOVID_NCT04357808,IL6 receptor antagonists,1_standard care/placebo,2,20,0,10
SARICOR_EudraCT2020-001531-27,IL6 receptor antagonists,1_standard care/placebo,6,53,2,26
SARTRE_EudraCT2020-002037-15,IL6 receptor antagonists,1_standard care/placebo,1,70,2,70
TOCIBRAS_NCT04403685,IL6 receptor antagonists,1_standard care/placebo,10,65,10,64
TOCOVID_EudraCT2020-001442-19,IL6 receptor antagonists,1_standard care/placebo,1,136,1,134
